Date,Open,High,Low,Close,Adj Close,Volume,date,price,dix,gex
5/2/2011,1365.209961,1370.579956,1358.589966,1361.219971,1361.219971,3846250000,5/2/2011,1361.219971,0.378842099,1897312571
5/3/2011,1359.76001,1360.839966,1349.52002,1356.619995,1356.619995,4223740000,5/3/2011,1356.619995,0.38341108,1859730656
5/4/2011,1355.900024,1355.900024,1341.5,1347.319946,1347.319946,4223740000,5/4/2011,1347.319946,0.3921218,1717763845
5/5/2011,1344.160034,1348,1329.170044,1335.099976,1335.099976,3846250000,5/5/2011,1335.099976,0.40545702,1361864280
5/6/2011,1340.23999,1354.359985,1335.579956,1340.199951,1340.199951,4223740000,5/6/2011,1340.199951,0.418648665,1490328626
5/9/2011,1340.199951,1349.439941,1338.640015,1346.290039,1346.290039,4265250000,5/9/2011,1346.290039,0.410320503,1677058729
5/10/2011,1348.339966,1359.439941,1348.339966,1357.160034,1357.160034,4223740000,5/10/2011,1357.160034,0.392851427,2034952131
5/11/2011,1354.51001,1354.51001,1336.359985,1342.079956,1342.079956,3846250000,5/11/2011,1342.079956,0.400814098,1536770885
5/12/2011,1339.390015,1351.050049,1332.030029,1348.650024,1348.650024,3777210000,5/12/2011,1348.650024,0.387533995,1674923266
5/13/2011,1348.689941,1350.469971,1333.359985,1337.77002,1337.77002,3426660000,5/13/2011,1337.77002,0.405595192,1218149462
5/16/2011,1334.77002,1343.329956,1327.319946,1329.469971,1329.469971,3846250000,5/16/2011,1329.469971,0.389702744,779596412.3
5/17/2011,1326.099976,1330.420044,1318.51001,1328.97998,1328.97998,4053970000,5/17/2011,1328.97998,0.394746832,841850592
5/18/2011,1328.540039,1341.819946,1326.589966,1340.680054,1340.680054,3922030000,5/18/2011,1340.680054,0.402330225,1366160182
5/19/2011,1342.400024,1346.819946,1336.359985,1343.599976,1343.599976,3626110000,5/19/2011,1343.599976,0.394634203,1543685365
5/20/2011,1342,1342,1330.670044,1333.27002,1333.27002,4066020000,5/20/2011,1333.27002,0.413201616,1288076424
5/23/2011,1333.069946,1333.069946,1312.880005,1317.369995,1317.369995,3255580000,5/23/2011,1317.369995,0.405846557,539696742.8
5/24/2011,1317.699951,1323.719971,1313.869995,1316.280029,1316.280029,3846250000,5/24/2011,1316.280029,0.389380348,510244377.5
5/25/2011,1316.359985,1325.859985,1311.800049,1320.469971,1320.469971,4109670000,5/25/2011,1320.469971,0.39729069,740695062.9
5/26/2011,1320.640015,1328.51001,1314.410034,1325.689941,1325.689941,3259470000,5/26/2011,1325.689941,0.397655976,794680724.9
5/27/2011,1325.689941,1334.619995,1325.689941,1331.099976,1331.099976,3124560000,5/27/2011,1331.099976,0.40093531,918664965.2
5/31/2011,1331.099976,1345.199951,1331.099976,1345.199951,1345.199951,4696240000,5/31/2011,1345.199951,0.402477407,1501018827
6/1/2011,1345.199951,1345.199951,1313.709961,1314.550049,1314.550049,4241090000,6/1/2011,1314.550049,0.441581815,765472910.7
6/2/2011,1314.550049,1318.030029,1305.609985,1312.939941,1312.939941,3762170000,6/2/2011,1312.939941,0.413069954,737054457.1
6/3/2011,1312.939941,1312.939941,1297.900024,1300.160034,1300.160034,3505030000,6/3/2011,1300.160034,0.436109719,405956517.9
6/6/2011,1300.26001,1300.26001,1284.719971,1286.170044,1286.170044,3555980000,6/6/2011,1286.170044,0.400147128,24119666.1
6/7/2011,1286.310059,1296.219971,1284.73999,1284.939941,1284.939941,3846250000,6/7/2011,1284.939941,0.406773926,-172403089.1
6/8/2011,1284.630005,1287.040039,1277.420044,1279.560059,1279.560059,3970810000,6/8/2011,1279.560059,0.40458124,-285916518
6/9/2011,1279.630005,1294.540039,1279.630005,1289,1289,3332510000,6/9/2011,1289,0.414450695,-110999211.3
6/10/2011,1288.599976,1288.599976,1268.280029,1270.97998,1270.97998,3846250000,6/10/2011,1270.97998,0.436125527,-459227978.2
6/13/2011,1271.310059,1277.040039,1265.640015,1271.829956,1271.829956,4132520000,6/13/2011,1271.829956,0.40885086,-449818392.3
6/14/2011,1272.219971,1292.5,1272.219971,1287.869995,1287.869995,3500280000,6/14/2011,1287.869995,0.426970319,97844618.18
6/15/2011,1287.869995,1287.869995,1261.900024,1265.420044,1265.420044,4070500000,6/15/2011,1265.420044,0.430259748,-618829105.2
6/16/2011,1265.530029,1274.109985,1258.069946,1267.640015,1267.640015,3846250000,6/16/2011,1267.640015,0.387974963,-643026779.9
6/17/2011,1268.579956,1279.819946,1267.400024,1271.5,1271.5,4916460000,6/17/2011,1271.5,0.408967692,-444255510.6
6/20/2011,1271.5,1280.420044,1267.560059,1278.359985,1278.359985,3464660000,6/20/2011,1278.359985,0.371377592,130641736.1
6/21/2011,1278.400024,1297.619995,1278.400024,1295.52002,1295.52002,4056150000,6/21/2011,1295.52002,0.423486175,594237200.5
6/22/2011,1295.47998,1298.609985,1286.790039,1287.140015,1287.140015,3718420000,6/22/2011,1287.140015,0.447209893,421966023.2
6/23/2011,1286.599976,1286.599976,1262.869995,1283.5,1283.5,4983450000,6/23/2011,1283.5,0.446167418,673524372.9
6/24/2011,1283.040039,1283.930054,1267.23999,1268.449951,1268.449951,3665340000,6/24/2011,1268.449951,0.447477568,197912878.2
6/27/2011,1268.439941,1284.910034,1267.530029,1280.099976,1280.099976,3479070000,6/27/2011,1280.099976,0.422968726,533994908.8
6/28/2011,1280.209961,1296.800049,1280.209961,1296.670044,1296.670044,3681500000,6/28/2011,1296.670044,0.434609154,1000303670
6/29/2011,1296.849976,1309.209961,1296.849976,1307.410034,1307.410034,4347540000,6/29/2011,1307.410034,0.41914064,1263240917
6/30/2011,1307.640015,1321.969971,1307.640015,1320.640015,1320.640015,4200500000,6/30/2011,1320.640015,0.41193311,1731119950
7/1/2011,1320.640015,1341.01001,1318.180054,1339.670044,1339.670044,3796930000,7/1/2011,1339.670044,0.414437072,2019895207
7/5/2011,1339.589966,1340.890015,1334.300049,1337.880005,1337.880005,3722320000,7/5/2011,1337.880005,0.418297491,2204693723
7/6/2011,1337.560059,1340.939941,1330.920044,1339.219971,1339.219971,3564190000,7/6/2011,1339.219971,0.429512982,2236776777
7/7/2011,1339.619995,1356.47998,1339.619995,1353.219971,1353.219971,4069530000,7/7/2011,1353.219971,0.416198359,2729301387
7/8/2011,1352.390015,1352.390015,1333.709961,1343.800049,1343.800049,3594360000,7/8/2011,1343.800049,0.4396265,2490173790
7/11/2011,1343.310059,1343.310059,1316.420044,1319.48999,1319.48999,3879130000,7/11/2011,1319.48999,0.427681437,1737340523
7/12/2011,1319.609985,1327.170044,1313.329956,1313.640015,1313.640015,4227890000,7/12/2011,1313.640015,0.428388198,1533836324
7/13/2011,1314.449951,1331.47998,1314.449951,1317.719971,1317.719971,4060080000,7/13/2011,1317.719971,0.42802034,1957650369
7/14/2011,1317.73999,1326.880005,1306.51001,1308.869995,1308.869995,4358570000,7/14/2011,1308.869995,0.433802921,1650214263
7/15/2011,1308.869995,1317.699951,1307.52002,1316.140015,1316.140015,4242760000,7/15/2011,1316.140015,0.426378352,4176336442
7/18/2011,1315.939941,1315.939941,1295.920044,1305.439941,1305.439941,4118160000,7/18/2011,1305.439941,0.416247547,887183380
7/19/2011,1307.069946,1328.140015,1307.069946,1326.72998,1326.72998,4304600000,7/19/2011,1326.72998,0.410345173,1304589933
7/20/2011,1328.660034,1330.430054,1323.650024,1325.839966,1325.839966,3767420000,7/20/2011,1325.839966,0.439684736,1549113896
7/21/2011,1325.650024,1347,1325.650024,1343.800049,1343.800049,4837430000,7/21/2011,1343.800049,0.42232637,1763114024
7/22/2011,1343.800049,1346.099976,1336.949951,1345.02002,1345.02002,3522830000,7/22/2011,1345.02002,0.445173324,1635847484
7/25/2011,1344.319946,1344.319946,1331.089966,1337.430054,1337.430054,3536890000,7/25/2011,1337.430054,0.444488726,1594831932
7/26/2011,1337.390015,1338.51001,1329.589966,1331.939941,1331.939941,4007050000,7/26/2011,1331.939941,0.421529934,1541061095
7/27/2011,1331.910034,1331.910034,1303.48999,1304.890015,1304.890015,3479040000,7/27/2011,1304.890015,0.418012198,839162001.8
7/28/2011,1304.839966,1316.319946,1299.160034,1300.670044,1300.670044,4951800000,7/28/2011,1300.670044,0.408520001,727984032.6
7/29/2011,1300.119995,1304.160034,1282.859985,1292.280029,1292.280029,5061190000,7/29/2011,1292.280029,0.40360837,634859901
8/1/2011,1292.589966,1307.380005,1274.72998,1286.939941,1286.939941,4967390000,8/1/2011,1286.939941,0.440309934,645133919.4
8/2/2011,1286.560059,1286.560059,1254.030029,1254.050049,1254.050049,5206290000,8/2/2011,1254.050049,0.441316163,54369376.39
8/3/2011,1254.25,1261.199951,1234.560059,1260.339966,1260.339966,6446940000,8/3/2011,1260.339966,0.431168961,224930307.5
8/4/2011,1260.22998,1260.22998,1199.540039,1200.069946,1200.069946,4266530000,8/4/2011,1200.069946,0.429702315,-660360325.5
8/5/2011,1200.280029,1218.109985,1168.089966,1199.380005,1199.380005,5454590000,8/5/2011,1199.380005,0.421318722,-463212353.1
8/8/2011,1198.47998,1198.47998,1119.280029,1119.459961,1119.459961,2615150000,8/8/2011,1119.459961,0.422791103,-802754541.1
8/9/2011,1120.22998,1172.880005,1101.540039,1172.530029,1172.530029,2366660000,8/9/2011,1172.530029,0.419587084,-374593398
8/10/2011,1171.77002,1171.77002,1118.01001,1120.76001,1120.76001,5018070000,8/10/2011,1120.76001,0.464857049,-759558784.7
8/11/2011,1121.300049,1186.290039,1121.300049,1172.640015,1172.640015,3685050000,8/11/2011,1172.640015,0.427854096,-264886917.5
8/12/2011,1172.869995,1189.040039,1170.73999,1178.810059,1178.810059,5640380000,8/12/2011,1178.810059,0.456990381,-309018593.5
8/15/2011,1178.859985,1204.48999,1178.859985,1204.48999,1204.48999,4272850000,8/15/2011,1204.48999,0.46463638,-23047118.8
8/16/2011,1204.219971,1204.219971,1180.530029,1192.76001,1192.76001,5071600000,8/16/2011,1192.76001,0.469079328,-225224022.6
8/17/2011,1192.890015,1208.469971,1184.359985,1193.890015,1193.890015,4388340000,8/17/2011,1193.890015,0.482254151,-251705740.2
8/18/2011,1189.619995,1189.619995,1131.030029,1140.650024,1140.650024,3234810000,8/18/2011,1140.650024,0.462807642,-836496736.5
8/19/2011,1140.469971,1154.540039,1122.050049,1123.530029,1123.530029,5167560000,8/19/2011,1123.530029,0.458592828,-1187036923
8/22/2011,1123.550049,1145.48999,1121.089966,1123.819946,1123.819946,5436260000,8/22/2011,1123.819946,0.448567228,-361898319.4
8/23/2011,1124.359985,1162.349976,1124.359985,1162.349976,1162.349976,5013170000,8/23/2011,1162.349976,0.461559084,54580971.03
8/24/2011,1162.160034,1178.560059,1156.300049,1177.599976,1177.599976,5315310000,8/24/2011,1177.599976,0.479698402,205415735.9
8/25/2011,1176.689941,1190.680054,1155.469971,1159.27002,1159.27002,5748420000,8/25/2011,1159.27002,0.488769064,2799983.66
8/26/2011,1158.849976,1181.22998,1135.910034,1176.800049,1176.800049,5035320000,8/26/2011,1176.800049,0.479699008,137694130.1
8/29/2011,1177.910034,1210.280029,1177.910034,1210.079956,1210.079956,4228070000,8/29/2011,1210.079956,0.48106422,561222253.1
8/30/2011,1209.76001,1220.099976,1195.77002,1212.920044,1212.920044,4572570000,8/30/2011,1212.920044,0.478342927,635378251.4
8/31/2011,1213,1230.709961,1209.349976,1218.890015,1218.890015,5267840000,8/31/2011,1218.890015,0.460570921,605715448.2
9/1/2011,1219.119995,1229.290039,1203.849976,1204.420044,1204.420044,4780410000,9/1/2011,1204.420044,0.487540669,320553022
9/2/2011,1203.900024,1203.900024,1170.560059,1173.969971,1173.969971,4401740000,9/2/2011,1173.969971,0.494089934,-15399260.06
9/6/2011,1173.969971,1173.969971,1140.130005,1165.23999,1165.23999,5103980000,9/6/2011,1165.23999,0.503255069,-974825.71
9/7/2011,1165.849976,1198.619995,1165.849976,1198.619995,1198.619995,4441040000,9/7/2011,1198.619995,0.463618062,424298106.1
9/8/2011,1197.97998,1204.400024,1183.339966,1185.900024,1185.900024,4465170000,9/8/2011,1185.900024,0.473642392,294110268
9/9/2011,1185.369995,1185.369995,1148.369995,1154.22998,1154.22998,4586370000,9/9/2011,1154.22998,0.500488427,-164918292.2
9/12/2011,1153.5,1162.52002,1136.069946,1162.27002,1162.27002,5168550000,9/12/2011,1162.27002,0.469095092,-55401539.5
9/13/2011,1162.589966,1176.410034,1157.439941,1172.869995,1172.869995,4681370000,9/13/2011,1172.869995,0.483554346,180810962.2
9/14/2011,1173.319946,1202.380005,1162.72998,1188.680054,1188.680054,4986740000,9/14/2011,1188.680054,0.467058699,516499239.9
9/15/2011,1189.439941,1209.109985,1189.439941,1209.109985,1209.109985,4479730000,9/15/2011,1209.109985,0.445066086,924224780.5
9/16/2011,1209.209961,1220.060059,1204.459961,1216.01001,1216.01001,5248890000,9/16/2011,1216.01001,0.474803599,1627867630
9/19/2011,1214.98999,1214.98999,1188.359985,1204.089966,1204.089966,4254190000,9/19/2011,1204.089966,0.471532494,819791724.4
9/20/2011,1204.5,1220.390015,1201.290039,1202.089966,1202.089966,4315610000,9/20/2011,1202.089966,0.460587997,864559001.3
9/21/2011,1203.630005,1206.300049,1166.209961,1166.76001,1166.76001,4728550000,9/21/2011,1166.76001,0.448700174,480322758.3
9/22/2011,1164.550049,1164.550049,1114.219971,1129.560059,1129.560059,6703140000,9/22/2011,1129.560059,0.481429038,42688858.26
9/23/2011,1128.819946,1141.719971,1121.359985,1136.430054,1136.430054,5639930000,9/23/2011,1136.430054,0.457091477,246153269.1
9/26/2011,1136.910034,1164.189941,1131.069946,1162.949951,1162.949951,4762830000,9/26/2011,1162.949951,0.456608486,415707524.8
9/27/2011,1163.319946,1195.859985,1163.319946,1175.380005,1175.380005,5548130000,9/27/2011,1175.380005,0.449152199,506709646.2
9/28/2011,1175.390015,1184.709961,1150.400024,1151.060059,1151.060059,4787920000,9/28/2011,1151.060059,0.483848986,303390928.7
9/29/2011,1151.73999,1175.869995,1139.930054,1160.400024,1160.400024,5285740000,9/29/2011,1160.400024,0.451186941,253516385.7
9/30/2011,1159.930054,1159.930054,1131.339966,1131.420044,1131.420044,4416790000,9/30/2011,1131.420044,0.475506663,11640191.37
10/3/2011,1131.209961,1138.98999,1098.920044,1099.22998,1099.22998,5670340000,10/3/2011,1099.22998,0.480298014,-220425308.1
10/4/2011,1097.420044,1125.119995,1074.77002,1123.949951,1123.949951,3714670000,10/4/2011,1123.949951,0.462602226,-85366095.48
10/5/2011,1124.030029,1146.069946,1115.680054,1144.030029,1144.030029,2510620000,10/5/2011,1144.030029,0.484630064,168193569.3
10/6/2011,1144.109985,1165.550049,1134.949951,1164.969971,1164.969971,5098330000,10/6/2011,1164.969971,0.481191663,401723210.3
10/7/2011,1165.030029,1171.400024,1150.26001,1155.459961,1155.459961,5580380000,10/7/2011,1155.459961,0.477111056,219498636.1
10/10/2011,1158.150024,1194.910034,1158.150024,1194.890015,1194.890015,4446800000,10/10/2011,1194.890015,0.447477948,931951102.5
10/11/2011,1194.599976,1199.23999,1187.300049,1195.540039,1195.540039,4424500000,10/11/2011,1195.540039,0.475650611,1128800514
10/12/2011,1196.189941,1220.25,1196.189941,1207.25,1207.25,5355360000,10/12/2011,1207.25,0.471812996,1326485542
10/13/2011,1206.959961,1207.459961,1190.579956,1203.660034,1203.660034,4436270000,10/13/2011,1203.660034,0.496293143,1378016376
10/14/2011,1205.650024,1224.609985,1205.650024,1224.579956,1224.579956,4116690000,10/14/2011,1224.579956,0.456942523,1783365971
10/17/2011,1224.469971,1224.469971,1198.550049,1200.859985,1200.859985,4300700000,10/17/2011,1200.859985,0.491524808,1329837843
10/18/2011,1200.75,1233.099976,1191.47998,1225.380005,1225.380005,4840170000,10/18/2011,1225.380005,0.460549148,1784730872
10/19/2011,1223.459961,1229.640015,1206.310059,1209.880005,1209.880005,4846390000,10/19/2011,1209.880005,0.471040535,1070550490
10/20/2011,1209.920044,1219.530029,1197.339966,1215.390015,1215.390015,4870290000,10/20/2011,1215.390015,0.480243155,1012832468
10/21/2011,1215.390015,1239.030029,1215.390015,1238.25,1238.25,4980770000,10/21/2011,1238.25,0.448862054,2347473743
10/24/2011,1238.719971,1256.550049,1238.719971,1254.189941,1254.189941,4309380000,10/24/2011,1254.189941,0.428410051,1158879374
10/25/2011,1254.189941,1254.189941,1226.790039,1229.050049,1229.050049,4473970000,10/25/2011,1229.050049,0.44638268,799720648.2
10/26/2011,1229.170044,1246.280029,1221.060059,1242,1242,4873530000,10/26/2011,1242,0.42391454,1009327345
10/27/2011,1243.969971,1292.660034,1243.969971,1284.589966,1284.589966,6367610000,10/27/2011,1284.589966,0.397064268,1688101729
10/28/2011,1284.390015,1287.079956,1277.01001,1285.089966,1285.089966,4536690000,10/28/2011,1285.089966,0.43294202,1581690426
10/31/2011,1284.959961,1284.959961,1253.160034,1253.300049,1253.300049,4310210000,10/31/2011,1253.300049,0.445037015,1171656477
11/1/2011,1251,1251,1215.420044,1218.280029,1218.280029,5645540000,11/1/2011,1218.280029,0.454847982,562856339.8
11/2/2011,1219.619995,1242.47998,1219.619995,1237.900024,1237.900024,4110530000,11/2/2011,1237.900024,0.450534427,851141787.8
11/3/2011,1238.25,1263.209961,1234.810059,1261.150024,1261.150024,4849140000,11/3/2011,1261.150024,0.44365225,1438676102
11/4/2011,1260.819946,1260.819946,1238.920044,1253.22998,1253.22998,3830650000,11/4/2011,1253.22998,0.468466739,1145431786
11/7/2011,1253.209961,1261.699951,1240.75,1261.119995,1261.119995,3429740000,11/7/2011,1261.119995,0.445331893,1329564468
11/8/2011,1261.119995,1277.550049,1254.98999,1275.920044,1275.920044,3908490000,11/8/2011,1275.920044,0.426426666,1807110772
11/9/2011,1275.180054,1275.180054,1226.640015,1229.099976,1229.099976,4659740000,11/9/2011,1229.099976,0.482996408,615504956
11/10/2011,1229.589966,1246.219971,1227.699951,1239.699951,1239.699951,4002760000,11/10/2011,1239.699951,0.42235354,665815678.9
11/11/2011,1240.119995,1266.97998,1240.119995,1263.849976,1263.849976,3370180000,11/11/2011,1263.849976,0.423077624,1253845090
11/14/2011,1263.849976,1263.849976,1246.680054,1251.780029,1251.780029,3219680000,11/14/2011,1251.780029,0.453277241,1051690216
11/15/2011,1251.699951,1264.25,1244.339966,1257.810059,1257.810059,3599300000,11/15/2011,1257.810059,0.436227733,1337630468
11/16/2011,1257.810059,1259.609985,1235.670044,1236.910034,1236.910034,4085010000,11/16/2011,1236.910034,0.461607981,745624770.7
11/17/2011,1236.560059,1237.72998,1209.430054,1216.130005,1216.130005,4596450000,11/17/2011,1216.130005,0.469086863,164520103.5
11/18/2011,1216.189941,1223.51001,1211.359985,1215.650024,1215.650024,3827610000,11/18/2011,1215.650024,0.455749012,-948429186.9
11/21/2011,1215.619995,1215.619995,1183.160034,1192.97998,1192.97998,4050070000,11/21/2011,1192.97998,0.450129026,70720556.43
11/22/2011,1192.97998,1196.810059,1181.650024,1188.040039,1188.040039,3911710000,11/22/2011,1188.040039,0.467619484,156201703.2
11/23/2011,1187.47998,1187.47998,1161.790039,1161.790039,1161.790039,3798940000,11/23/2011,1161.790039,0.465278888,-252170842.5
11/25/2011,1161.410034,1172.660034,1158.660034,1158.670044,1158.670044,1664200000,11/25/2011,1158.670044,0.470870269,-206203569.7
11/28/2011,1158.670044,1197.349976,1158.670044,1192.550049,1192.550049,3920750000,11/28/2011,1192.550049,0.46061204,250687378.9
11/29/2011,1192.560059,1203.670044,1191.800049,1195.189941,1195.189941,3992650000,11/29/2011,1195.189941,0.449602543,260318977.5
11/30/2011,1196.719971,1247.109985,1196.719971,1246.959961,1246.959961,5801910000,11/30/2011,1246.959961,0.40289277,1219948970
12/1/2011,1246.910034,1251.089966,1239.72998,1244.579956,1244.579956,3818680000,12/1/2011,1244.579956,0.438849579,1310091659
12/2/2011,1246.030029,1260.079956,1243.349976,1244.280029,1244.280029,4144310000,12/2/2011,1244.280029,0.427454365,1122010988
12/5/2011,1244.329956,1266.72998,1244.329956,1257.079956,1257.079956,4148060000,12/5/2011,1257.079956,0.434154574,1407537501
12/6/2011,1257.189941,1266.030029,1253.030029,1258.469971,1258.469971,3734230000,12/6/2011,1258.469971,0.435047155,1385127223
12/7/2011,1258.140015,1267.060059,1244.800049,1261.01001,1261.01001,4160540000,12/7/2011,1261.01001,0.4419741,1400280640
12/8/2011,1260.869995,1260.869995,1231.469971,1234.349976,1234.349976,4298370000,12/8/2011,1234.349976,0.475577644,927913416.2
12/9/2011,1234.47998,1258.25,1234.47998,1255.189941,1255.189941,3830610000,12/9/2011,1255.189941,0.440305541,1452367339
12/12/2011,1255.050049,1255.050049,1227.25,1236.469971,1236.469971,3600570000,12/12/2011,1236.469971,0.495128953,1022002330
12/13/2011,1236.829956,1249.859985,1219.430054,1225.72998,1225.72998,4121570000,12/13/2011,1225.72998,0.458171342,707628338.1
12/14/2011,1225.72998,1225.72998,1209.469971,1211.819946,1211.819946,4298290000,12/14/2011,1211.819946,0.439287721,182965155.9
12/15/2011,1212.119995,1225.599976,1212.119995,1215.75,1215.75,3810340000,12/15/2011,1215.75,0.427442872,181227650.2
12/16/2011,1216.089966,1231.040039,1215.199951,1219.660034,1219.660034,5345800000,12/16/2011,1219.660034,0.455177073,809948927.7
12/19/2011,1219.73999,1224.569946,1202.369995,1205.349976,1205.349976,3659820000,12/19/2011,1205.349976,0.449236784,547980483.5
12/20/2011,1205.719971,1242.819946,1205.719971,1241.300049,1241.300049,4055590000,12/20/2011,1241.300049,0.405726452,1244950459
12/21/2011,1241.25,1245.089966,1229.51001,1243.719971,1243.719971,2959020000,12/21/2011,1243.719971,0.428636389,1417896318
12/22/2011,1243.719971,1255.219971,1243.719971,1254,1254,3492250000,12/22/2011,1254,0.4316862,1681798898
12/23/2011,1254,1265.420044,1254,1265.329956,1265.329956,2233830000,12/23/2011,1265.329956,0.429020877,1667860365
12/27/2011,1265.02002,1269.369995,1262.300049,1265.430054,1265.430054,2130590000,12/27/2011,1265.430054,0.435375215,1823359678
12/28/2011,1265.380005,1265.849976,1248.640015,1249.640015,1249.640015,2349980000,12/28/2011,1249.640015,0.454748361,1420172304
12/29/2011,1249.75,1263.540039,1249.75,1263.02002,1263.02002,2278130000,12/29/2011,1263.02002,0.440780529,1770650321
12/30/2011,1262.819946,1264.119995,1257.459961,1257.599976,1257.599976,2271850000,12/30/2011,1257.599976,0.429171329,1555835281
1/3/2012,1258.859985,1284.619995,1258.859985,1277.060059,1277.060059,3943710000,1/3/2012,1277.060059,0.411853455,2013937733
1/4/2012,1277.030029,1278.72998,1268.099976,1277.300049,1277.300049,3592580000,1/4/2012,1277.300049,0.456286253,2149477635
1/5/2012,1277.300049,1283.050049,1265.26001,1281.060059,1281.060059,4315950000,1/5/2012,1281.060059,0.459538324,2291122803
1/6/2012,1280.930054,1281.839966,1273.339966,1277.810059,1277.810059,3656830000,1/6/2012,1277.810059,0.455721589,2050336452
1/9/2012,1277.829956,1281.98999,1274.550049,1280.699951,1280.699951,3371600000,1/9/2012,1280.699951,0.443140449,2099565270
1/10/2012,1280.77002,1296.459961,1280.77002,1292.079956,1292.079956,4221960000,1/10/2012,1292.079956,0.420540829,2365634573
1/11/2012,1292.02002,1293.800049,1285.410034,1292.47998,1292.47998,3968120000,1/11/2012,1292.47998,0.44476812,2328042130
1/12/2012,1292.47998,1296.819946,1285.77002,1295.5,1295.5,4019890000,1/12/2012,1295.5,0.453079734,2400086675
1/13/2012,1294.819946,1294.819946,1277.579956,1289.089966,1289.089966,3692370000,1/13/2012,1289.089966,0.457141218,2244354575
1/17/2012,1290.219971,1303,1290.219971,1293.670044,1293.670044,4010490000,1/17/2012,1293.670044,0.422817493,2487898292
1/18/2012,1293.650024,1308.109985,1290.98999,1308.040039,1308.040039,4096160000,1/18/2012,1308.040039,0.437660603,2789240579
1/19/2012,1308.069946,1315.48999,1308.069946,1314.5,1314.5,4465890000,1/19/2012,1314.5,0.441143201,3020604554
1/20/2012,1314.48999,1315.380005,1309.170044,1315.380005,1315.380005,3912620000,1/20/2012,1315.380005,0.438470229,5358379990
1/23/2012,1315.290039,1322.280029,1309.890015,1316,1316,3770910000,1/23/2012,1316,0.424406132,1360477010
1/24/2012,1315.959961,1315.959961,1306.060059,1314.650024,1314.650024,3693560000,1/24/2012,1314.650024,0.427808634,1326643587
1/25/2012,1314.400024,1328.300049,1307.650024,1326.060059,1326.060059,4410910000,1/25/2012,1326.060059,0.416994023,2073559882
1/26/2012,1326.280029,1333.469971,1313.599976,1318.430054,1318.430054,4522070000,1/26/2012,1318.430054,0.422394072,1847055850
1/27/2012,1318.25,1320.060059,1311.719971,1316.329956,1316.329956,4007380000,1/27/2012,1316.329956,0.431315853,1579086753
1/30/2012,1316.160034,1316.160034,1300.48999,1313.01001,1313.01001,3659010000,1/30/2012,1313.01001,0.465470177,1685941157
